2025-02-21  *08:44:11,sample rate:100,band width:QV,memory depth:10,,,
0.081401,0.007655,-21.16032,0.937047,907.1452,79799.298,Transformer
0.087413,0.008221,-20.85085,0.931545,953.2908,92388.354,Informer
2025-02-21  *09:01:08,sample rate:200,band width:Ka,memory depth:5,,,
0.254286,0.045891,-13.382741,0.891799,508.1743,79799.298,Transformer
0.249988,0.045115,-13.45677,0.890261,550.1338,92388.354,Informer
2025-02-21  *09:15:25,sample rate:200,band width:Ka,memory depth:10,,,
0.361903,0.042655,-13.700274,0.897011,907.1452,79799.298,Transformer
0.377488,0.044492,-13.517164,0.896994,953.2908,92388.354,Informer
2025-02-21  *09:36:06,sample rate:200,band width:QV,memory depth:5,,,
0.084627,0.013423,-18.721354,0.926777,508.1743,79799.298,Transformer
0.083064,0.013176,-18.80231,0.924114,550.1338,92388.354,Informer
2025-02-21  *09:52:48,sample rate:200,band width:QV,memory depth:10,,,
0.11956,0.011646,-19.33812,0.928976,907.1452,79799.298,Transformer
0.12665,0.012337,-19.087927,0.925806,953.2908,92388.354,Informer
2025-02-21  *10:09:06,16QAM,frequency1:1G,frequency2:5G,memory depth:5,,
0.000151,0.005945,-22.258766,0.949618,508.1743,79799.298,Transformer
0.000224,0.008824,-20.543333,0.946634,550.1338,92388.354,Informer
2025-02-21  *10:24:46,16QAM,frequency1:1G,frequency2:5G,memory depth:10,,
0.00015,0.006311,-21.999056,0.952019,907.1452,79799.298,Transformer
0.000304,0.012778,-18.935287,0.944412,953.2908,92388.354,Informer
2025-02-21  *10:43:49,16QAM,frequency1:2G,frequency2:10G,memory depth:5,,
0.000148,0.009174,-20.374468,0.933714,508.1743,79799.298,Transformer
0.000175,0.010875,-19.635616,0.942027,550.1338,92388.354,Informer
2025-02-21  *11:11:44,16QAM,frequency1:2G,frequency2:10G,memory depth:10,,
0.000135,0.008946,-20.483921,0.937699,907.1452,79799.298,Transformer
0.000211,0.013977,-18.545855,0.935222,953.2908,92388.354,Informer
2025-02-21  *11:38:59,16QAM,frequency1:4G,frequency2:20G,memory depth:5,,
0.000917,0.040628,-13.911741,0.886335,508.1743,79799.298,Transformer
0.000924,0.040917,-13.880924,0.887896,550.1338,92388.354,Informer
2025-02-21  *12:25:27,16QAM,frequency1:4G,frequency2:20G,memory depth:10,,
0.000582,0.027514,-15.604409,0.897912,907.1452,79799.298,Transformer
0.0006,0.028396,-15.467477,0.899658,953.2908,92388.354,Informer
2025-02-21  *13:17:12,64QAM,frequency1:1G,frequency2:5G,memory depth:5,,
0.010555,0.001899,-27.214512,0.934907,508.1743,79799.298,Transformer
0.011101,0.001997,-26.99548,0.940001,550.1338,92388.354,Informer
2025-02-21  *13:31:38,64QAM,frequency1:1G,frequency2:5G,memory depth:10,,
0.010472,0.001296,-28.873426,0.936962,907.1452,79799.298,Transformer
0.017954,0.002222,-26.532137,0.944656,953.2908,92388.354,Informer
2025-02-21  *13:44:11,64QAM,frequency1:2G,frequency2:10G,memory depth:5,,
0.00549,0.005606,-22.513298,0.923562,508.1743,79799.298,Transformer
0.005891,0.006016,-22.207157,0.92186,550.1338,92388.354,Informer
2025-02-21  *14:04:04,64QAM,frequency1:2G,frequency2:10G,memory depth:10,,
0.005263,0.005392,-22.682753,0.92327,907.1452,79799.298,Transformer
0.005543,0.005679,-22.457369,0.922785,953.2908,92388.354,Informer
2025-02-21  *14:36:16,64QAM,frequency1:4G,frequency2:20G,memory depth:5,,
0.011514,0.039649,-14.017678,0.868029,508.1743,79799.298,Transformer
0.011425,0.039344,-14.051227,0.870042,550.1338,92388.354,Informer
2025-02-21  *15:16:20,64QAM,frequency1:4G,frequency2:20G,memory depth:10,,
0.006982,0.025254,-15.976688,0.886429,907.1452,79799.298,Transformer
0.006982,0.025252,-15.97701,0.887076,953.2908,92388.354,Informer
2025-02-22  *06:15:49,sample rate:100,band width:Ka,memory depth:5,,,
###,,,,,,
2025-02-22  *06:17:25,sample rate:100,band width:Ka,memory depth:5,,,
0.089645,0.013146,-18.81213,0.951868,508.1743,79799.298,Transformer
0.074134,0.010871,-19.637232,0.95596,550.1338,92388.354,Informer
2025-02-22  *06:30:09,sample rate:100,band width:Ka,memory depth:10,,,
0.043673,0.004026,-23.95179,0.96395,907.1452,79799.298,Transformer
0.045423,0.004187,-23.781212,0.967233,953.2908,92388.354,Informer
2025-02-22  *06:44:07,sample rate:100,band width:QV,memory depth:5,,,
0.039201,0.005704,-22.438242,0.950286,508.1743,79799.298,Transformer
0.034943,0.005084,-22.93762,0.947105,550.1338,92388.354,Informer
2025-02-22  *06:56:15,sample rate:100,band width:QV,memory depth:10,,,
0.040524,0.003656,-24.36935,0.952911,907.1452,79799.298,Transformer
0.043106,0.003889,-24.101152,0.951574,953.2908,92388.354,Informer
2025-02-22  *07:27:45,sample rate:200,band width:Ka,memory depth:5,,,
0.233747,0.037738,-14.232211,0.882268,508.1743,79799.298,Transformer
0.229671,0.03708,-14.308614,0.88458,550.1338,92388.354,Informer
2025-02-22  *07:37:49,sample rate:200,band width:Ka,memory depth:10,,,
0.330039,0.034799,-14.584333,0.885549,907.1452,79799.298,Transformer
0.335115,0.035334,-14.518049,0.884252,953.2908,92388.354,Informer
2025-02-22  *07:58:27,sample rate:200,band width:QV,memory depth:5,,,
0.06395,0.009664,-20.148449,0.929176,508.1743,79799.298,Transformer
0.06242,0.009433,-20.25363,0.928932,550.1338,92388.354,Informer
2025-02-22  *08:14:01,sample rate:200,band width:QV,memory depth:10,,,
0.089298,0.008287,-20.816044,0.928912,907.1452,79799.298,Transformer
0.093505,0.008677,-20.616138,0.92939,953.2908,92388.354,Informer
2025-02-22  *08:30:01,16QAM,frequency1:1G,frequency2:5G,memory depth:5,,
0.00011,0.0048,-23.187256,0.941946,508.1743,79799.298,Transformer
0.000162,0.007081,-21.498793,0.933838,550.1338,92388.354,Informer
2025-02-22  *08:45:33,16QAM,frequency1:1G,frequency2:5G,memory depth:10,,
0.000109,0.005114,-22.912231,0.948553,907.1452,79799.298,Transformer
0.000261,0.012186,-19.141567,0.917331,953.2908,92388.354,Informer
2025-02-22  *09:04:12,16QAM,frequency1:2G,frequency2:10G,memory depth:5,,
0.000114,0.006602,-21.803225,0.928062,508.1743,79799.298,Transformer
0.000147,0.008545,-20.682999,0.925543,550.1338,92388.354,Informer
2025-02-22  *09:32:03,16QAM,frequency1:2G,frequency2:10G,memory depth:10,,
